0,0
1,0
2,2
3,6
4,12
5,20
6,30
7,42
8,56
9,72
10,90
11,110
12,132
13,156
14,182
15,210
16,240
17,272
18,306
19,342
20,380
21,420
22,462
23,506
24,552
25,600
26,650
27,702
28,756
29,812
30,870
31,930
32,992
33,1056
34,1122
35,1190
36,1260
37,1332
38,1406
39,1482
40,1560
41,1640
42,1722
43,1806
44,1892
45,1980
46,2070
47,2162
48,2256
49,2352
50,2450
51,2550
52,2652
53,2756
54,2862
55,2970
56,3080
57,3192
58,3306
59,3422
60,3540
61,3660
62,3782
63,3906
64,4032
65,4160
66,4290
67,4422
68,4556
69,4692
70,4830
71,4970
72,5112
73,5256
74,5402
75,5550
76,5700
77,5852
78,6006
79,6162
80,6320
81,6480
82,6642
83,6806
84,6972
85,7140
86,7310
87,7482
88,7656
89,7832
90,8010
91,8190
92,8372
93,8556
94,8742
95,8930
96,9120
97,9312
98,9506
99,9702
100,9900
101,10100
102,10302
103,10506
104,10712
105,10920
106,11130
107,11342
108,11556
109,11772
110,11990
111,12210
112,12432
113,12656
114,12882
115,13110
116,13340
117,13572
118,13806
119,14042
120,14280
121,14520
122,14762
123,15006
124,15252
125,15500
126,15750
127,16002
128,16256
129,16512
130,16770
131,17030
132,17292
133,17556
134,17822
135,18090
136,18360
137,18632
138,18906
139,19182
140,19460
141,19740
142,20022
143,20306
144,20592
145,20880
146,21170
147,21462
148,21756
149,22052
150,22350
151,22650
152,22952
153,23256
154,23562
155,23870
156,24180
157,24492
158,24806
159,25122
160,25440
161,25760
162,26082
163,26406
164,26732
165,27060
166,27390
167,27722
168,28056
169,28392
170,28730
171,29070
172,29412
173,29756
174,30102
175,30450
176,30800
177,31152
178,31506
179,31862
180,32220
181,32580
182,32942
183,33306
184,33672
185,34040
186,34410
187,34782
188,35156
189,35532
190,35910
191,36290
192,36672
193,37056
194,37442
195,37830
196,38220
197,38612
198,39006
199,39402
200,39800
201,40200
202,40602
203,41006
204,41412
205,41820
206,42230
207,42642
208,43056
209,43472
210,43890
211,44310
212,44732
213,45156
214,45582
215,46010
216,46440
217,46872
218,47306
219,47742
220,48180
221,48620
222,49062
223,49506
224,49952
225,50400
226,50850
227,51302
228,51756
229,52212
230,52670
231,53130
232,53592
233,54056
234,54522
235,54990
236,55460
237,55932
238,56406
239,56882
240,57360
241,57840
242,58322
243,58806
244,59292
245,59780
246,60270
247,60762
248,61256
249,61752
250,62250
251,62750
252,63252
253,63756
254,64262
255,64770
256,65280
257,65792
258,66306
259,66822
260,67340
261,67860
262,68382
263,68906
264,69432
265,69960
266,70490
267,71022
268,71556
269,72092
270,72630
271,73170
272,73712
273,74256
274,74802
275,75350
276,75900
277,76452
278,77006
279,77562
280,78120
281,78680
282,79242
283,79806
284,80372
285,80940
286,81510
287,82082
288,82656
289,83232
290,83810
291,84390
292,84972
293,85556
294,86142
295,86730
296,87320
297,87912
298,88506
299,89102
300,89700
301,90300
302,90902
303,91506
304,92112
305,92720
306,93330
307,93942
308,94556
309,95172
310,95790
311,96410
312,97032
313,97656
314,98282
315,98910
316,99540
317,100172
318,100806
319,101442
320,102080
321,102720
322,103362
323,104006
324,104652
325,105300
326,105950
327,106602
328,107256
329,107912
330,108570
331,109230
332,109892
333,110556
334,111222
335,111890
336,112560
337,113232
338,113906
339,114582
340,115260
341,115940
342,116622
343,117306
344,117992
345,118680
346,119370
347,120062
348,120756
349,121452
350,122150
351,122850
352,123552
353,124256
354,124962
355,125670
356,126380
357,127092
358,127806
359,128522
360,129240
361,129960
362,130682
363,131406
364,132132
365,132860
366,133590
367,134322
368,135056
369,135792
370,136530
371,137270
372,138012
373,138756
374,139502
375,140250
376,141000
377,141752
378,142506
379,143262
380,144020
381,144780
382,145542
383,146306
384,147072
385,147840
386,148610
387,149382
388,150156
389,150932
390,151710
391,152490
392,153272
393,154056
394,154842
395,155630
396,156420
397,157212
398,158006
399,158802
400,159600
401,160400
402,161202
403,162006
404,162812
405,163620
406,164430
407,165242
408,166056
409,166872
410,167690
411,168510
412,169332
413,170156
414,170982
415,171810
416,172640
417,173472
418,174306
419,175142
420,175980
421,176820
422,177662
423,178506
424,179352
425,180200
426,181050
427,181902
428,182756
429,183612
430,184470
431,185330
432,186192
433,187056
